[EDG2007] 538                        12.9842 27.986
GMP 3599                             12.988 27.8606
[CTM2010] 150530                     13.0095 27.9716
[EDG2007] 314                        12.9842 27.9749
[CTM2010] 1041404                    13.0096 27.9785
GMP 2617                             13.009 28.0336
[EDG2007] 664                        12.9874 28.094
TT 13                                13 27.8167
[EDG2007] 396                        12.9917 27.826
GMP 3422                             12.9914 28.1339
[EDG2007] 591                        13.0095 28.0061
[CG99] SA1656-75                     13.0075 28.075
GMP 2888                             13.0029 28.1303
GMP 2873                             13.0033 28.1275
[APD2000] J130028.2+280411           13.0078 28.0698
[EDG2007] 421                        13.0017 27.8226
[EDG2007] 614                        13.0089 28.0414
[CTM2010] 91752                      13.0086 28.0536
[EDG2007] 647                        13.0091 27.9214
[EDG2007] 495                        12.984 27.9501
[EDG2007] 685                        13.0097 27.9499
GMP 3647                             12.9873 28.0994
GMP 2864                             13.0035 27.83
[HVH2010] Comai J130029.853+280400.8513.0083 28.0669
[EDG2007] 277                        13.0099 28.0053
[EDG2007] 587                        12.986 28.0791
[EDG2007] 621                        12.9945 27.8078
[CTM2010] 150880                     13.0101 27.9734
GMP 3549                             12.989 28.1225
GMP 3247                             12.9946 27.8067
GMP 3467                             12.9907 27.8236
GMP 3621                             12.9877 27.8517
[EDG2007] 727                        12.9891 27.8367
[EDG2007] 718                        13.0096 27.9276
[EDG2007] 468                        13.0102 27.9614
GMP 3736                             12.9854 28.0711
[EDG2007] 703                        12.9837 27.9472
[EDG2007] 443                        13.0085 28.0685
[EDG2007] 686                        13.0099 28.0238
[RB67] 109                           13.01 28.0167
[EDG2007] 716                        13.0071 27.8649
[CTM2010] 151061                     13.0103 27.9687
[EDG2007] 638                        12.9925 27.8109
GMP 3826                             12.9837 27.9382
[APD2000] J130005.3+280858           13.0015 28.1494
GMP 2614                             13.0091 28.0589
[EDG2007] 509                        12.9837 27.9384
[EDG2007] 740                        12.984 28.0369
[EDG2007] 540                        12.9945 27.8031
[AO95] 1257+283                      12.9833 28
[CTM2010] 220952                     13.0095 27.9131
[CTM2010] 151072                     13.0105 27.9779
[EDG2007] 627                        12.9962 27.7999
GMP 3460                             12.9908 27.8181
[EDG2007] 480                        12.9833 27.9985
GMP 2557                             13.0105 27.9953
[EDG2007] 701                        13.0093 28.0569
[EDG2007] 442                        12.9832 27.9936
[EDG2007] 530                        13.006 27.8452
