C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
129  |    176.66|GMP 3030                             |G  |12 59 59.659 +27 57 09.35    |     ~|20.82 |20.35 |19.91 |19.57 |~              |   3|   0
130  |    177.74|[MGH2010] J125935.62+275810.4        |G? |12 59 35.62 +27 58 10.4      |     ~|     ~|     ~|     ~|22.67 |~              |   1|   0
131  |    178.24|[ANM98] -2.61+2.64                   |GiC|12 59 53.6 +27 56 04         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
132  |    178.43|[CTM2010] 192254                     |G  |12 59 35.23 +27 58 50.3      |     ~|     ~|     ~|22.25 |22.25 |~              |   1|   0
133  |    178.53|[DZ2015b] 708                        |GrG|12 59 35.3 +27 58 34         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
134  |    179.13|[CTM2010] 1037297                    |G  |12 59 51.2805 +27 55 54.167  |     ~|     ~|     ~|22.89 |23.04 |~              |   1|   0
135  |    179.31|SN 1981G                             |SN*|12 59 36.0 +27 57 48         |     ~|15.0  |15.0  |     ~|     ~|SNIa           |  10|   1
136  |    180.69|GMP 3064                             |G  |12 59 56.752 +28 01 15.87    |     ~|23.10 |21.81 |20.81 |20.11 |~              |   2|   0
137  |    180.77|[CTM2010] 194749                     |G  |12 59 38.08 +27 56 56.5      |     ~|     ~|     ~|21.73 |21.86 |~              |   1|   0
138  |    180.82|[MGH2010] J125935.31+275814.9        |G? |12 59 35.31 +27 58 14.9      |     ~|     ~|     ~|     ~|22.33 |~              |   1|   0
139  |    180.97|[CTM2010] 1042830                    |G  |13 00 01.8018 +27 59 41.323  |     ~|     ~|     ~|21.83 |21.79 |~              |   4|   0
140  |    181.45|[MGH2010] J125935.03+275838.4        |G? |12 59 35.03 +27 58 38.4      |     ~|     ~|     ~|     ~|23.59 |~              |   1|   0
141  |    183.70|[ZEH2003] RX J1259.7+2756 1          |GiC|12 59 49.35 +27 55 46.5      |     ~|20.3  |     ~|     ~|     ~|~              |   5|   0
142  |    184.50|[ASD2005] 4                          |GiC|12 59 38.412 +28 00 54.40    |     ~|     ~|15.95 |23.92 |     ~|~              |   2|   0
143  |    185.30|[AGO2007] 221                        |PN?|12 59 48.64 +27 55 44.7      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
144  |    185.36|[AGO2007] 220                        |PN?|12 59 50.45 +27 55 46.1      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
145  |    188.22|NGC 4874                             |rG |12 59 35.709 +27 57 33.80    |13.01 |13.7  |11.40 |12.122|11.386|~              | 426|   3
146  |    189.48|[CTM2010] 121666                     |G  |12 59 39.1623 +28 01 11.232  |     ~|     ~|     ~|21.65 |21.68 |~              |   5|   0
147  |    190.06|2E 1257.1+2813                       |X  |12 59 36.5 +27 57 10         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
148  |    190.12|[EDG2007] 470                        |*  |12 59 44.92 +27 55 46.6      |46.529|21.176|20.091|19.288|18.669|~              |   1|   0
149  |    190.67|[ANM98] -1.95+2.25                   |GiC|12 59 50.6 +27 55 41         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
150  |    191.13|[AGO2007] 205                        |PN?|12 59 49.24 +27 55 39.0      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
151  |    192.79|[MGH2010] J125935.25+275736.4        |G? |12 59 35.25 +27 57 36.4      |     ~|     ~|     ~|     ~|23.14 |~              |   1|   0
152  |    193.07|[EDG2007] 265                        |G  |12 59 50.00 +27 55 37.7      |20.07 |19.808|18.7  |17.734|17.298|~              |   1|   0
153  |    197.89|[LVO2003] J125945.4+275537           |X  |12 59 45.4 +27 55 37         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
154  |    198.38|CAIRNS J125945.30+275536.8           |GiC|12 59 45.30 +27 55 36.8      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
155  |    198.98|GMP 3348                             |G  |12 59 34.2 +27 59 42         |     ~|     ~|     ~|19.98 |20.13 |~              |   4|   0
156  |    199.72|[AGO2007] 210                        |PN?|12 59 40.49 +27 56 02.5      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
157  |    200.28|[CG99] SA1656-8                      |GrG|12 59 49.5 +27 55 30         |     ~|20.82 |     ~|     ~|     ~|~              |   1|   0
158  |    200.94|[AGO2007] 209                        |PN?|12 59 49.91 +27 55 29.7      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
159  |    201.62|2MASX J12595013+2755292              |GiC|12 59 50.138 +27 55 29.28    |17.63 |17.563|16.31 |16.051|15.402|~              |  20|   0
160  |    201.94|[EDG2007] 527                        |G  |12 59 48.39 +28 02 11.9      |46.357|25.097|21.984|20.307|18.688|~              |   1|   0
161  |    202.39|[EDG2007] 304                        |*  |12 59 38.86 +27 56 15.2      |22.666|48.956|22.111|46.377|21.672|~              |   1|   0
162  |    202.68|LEDA 44692                           |GiC|12 59 59.469 +27 56 26.06    |18.42 |18.426|17.38 |17.098|16.43 |~              |  15|   0
163  |    205.25|[UBM96] 9L                           |G  |12 59 46.370 +27 55 27.09    |     ~|     ~|     ~|24.59 |     ~|~              |   1|   0
164  |    205.45|2MASS J12593595+2800472              |*  |12 59 35.96 +28 00 47.2      |22.14 |20.67 |19.17 |18.09 |17.21 |~              |   2|   0
165  |    205.95|LEDA 44693                           |GiC|13 00 00.970 +27 56 43.55    |18.39 |18.329|17.34 |17.01 |16.429|~              |  17|   0
166  |    206.06|LEDA 126771                          |GiC|13 00 03.65 +27 57 53.1      |18.78 |18.49 |17.73 |16.99 |16.48 |~              |  12|   0
167  |    206.13|[ANM98] -0.93+2.03                   |GiC|12 59 46.0 +27 55 27         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
168  |    206.27|SN 1968B                             |SN*|12 59 34.0 +27 57 42         |     ~|17.4  |17.4  |     ~|     ~|~              |   4|   1
169  |    206.77|LEDA 126788                          |GiC|12 59 37.005 +28 01 06.98    |19.09 |18.99 |18.07 |17.49 |16.98 |~              |  17|   0
170  |    207.27|[EDG2007] 182                        |GiC|12 59 57.44 +27 55 58.1      |18.732|18.467|17.594|17.157|16.382|~              |   2|   0
171  |    207.33|GMP 3217                             |G  |12 59 42.894 +28 02 02.54    |     ~|20.12 |19.49 |18.72 |18.30 |~              |   2|   0
172  |    208.23|GMP 3223                             |G  |12 59 42.1 +28 01 59         |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
173  |    208.82|[CTM2010] 190875                     |G  |12 59 34.0430 +28 00 06.928  |     ~|     ~|     ~|23.38 |23.69 |~              |   1|   0
174  |    209.15|[EDG2007] 472                        |G  |13 00 02.52 +27 57 08.9      |22.367|49.158|20.05 |20.883|45.571|~              |   1|   0
175  |    209.47|GMP 3319                             |G  |12 59 36.376 +27 56 38.79    |     ~|21.84 |21.09 |20.18 |20.06 |~              |   2|   0
176  |    210.03|NGC 4886                             |GiG|13 00 04.440 +27 59 15.28    |15.595|15.1  |14.294|13.712|13.092|~              |  61|   0
