C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
8476 |   3154.13|[HHM2010] 194.57307+27.17169         |G  |12 58 17.534 +27 10 18.08    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8477 |   3154.41|[HHM2010] 194.82313+27.11192         |G  |12 59 17.548 +27 06 42.92    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8478 |   3154.66|[HHM2010] 194.82979+27.11109         |*  |12 59 19.145 +27 06 39.92    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8479 |   3154.89|[HHM2010] 194.07928+27.56764         |G  |12 56 19.025 +27 34 03.55    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8480 |   3155.51|[HHM2010] 194.08039+27.56547         |G  |12 56 19.290 +27 33 55.72    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8481 |   3155.94|GMP 5625                             |G  |12 56 06.3 +28 17 53         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8482 |   3156.23|[HHM2010] 194.57473+27.17044         |G  |12 58 17.934 +27 10 13.60    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8483 |   3156.29|[HHM2010] 194.64643+27.14698         |G  |12 58 35.14 +27 08 49.1      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8484 |   3156.29|GMP 773                              |G  |13 03 46.9 +27 57 44         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8485 |   3156.55|[HHM2010] 194.14882+27.46853         |*  |12 56 35.712 +27 28 06.74    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8486 |   3156.59|[HHM2010] 194.45716+27.22173         |*  |12 57 49.720 +27 13 18.21    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8487 |   3156.76|SDSSCGB 50746                        |CGG|12 55 58.9 +28 12 58         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8488 |   3156.93|[HHM2010] 194.73780+27.12463         |G  |12 58 57.068 +27 07 28.65    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8489 |   3157.04|[HHM2010] 194.80359+27.11365         |G  |12 59 12.858 +27 06 49.15    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8490 |   3157.06|SDSSCGB 50746.4                      |G  |12 55 58.785 +28 12 53.59    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8491 |   3157.41|[MS72] 1254.2+2744                   |*  |12 56 36.0 +27 28 00         |     ~|     ~|     ~|     ~|     ~|M              |   0|   0
8492 |   3157.43|[HHM2010] 194.46152+27.21924         |G  |12 57 50.766 +27 13 09.25    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8493 |   3157.98|[HHM2010] 194.64875+27.14581         |G  |12 58 35.698 +27 08 44.92    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8494 |   3158.36|GMP 5719                             |G  |12 55 58.15 +27 45 36.7      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8495 |   3158.72|[HHM2010] 194.09202+27.54519         |G  |12 56 22.082 +27 32 42.72    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8496 |   3158.99|GMP 3503                             |G  |12 59 24.1 +27 06 28         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8497 |   3159.12|[HHM2010] 194.41712+27.24254         |G  |12 57 40.112 +27 14 33.13    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8498 |   3159.25|GMP 5712                             |G  |12 55 57.7 +28 12 08         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8499 |   3159.26|[HHM2010] 194.59320+27.16296         |G  |12 58 22.365 +27 09 46.67    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8500 |   3159.28|GMP 1289                             |G  |13 02 48.7 +28 33 30         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8501 |   3159.46|[HHM2010] 194.36824+27.27211         |G  |12 57 28.380 +27 16 19.57    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8502 |   3159.47|[HHM2010] 194.10913+27.51946         |G  |12 56 26.188 +27 31 10.08    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8503 |   3159.62|[HHM2010] 194.37013+27.27084         |G  |12 57 28.832 +27 16 15.00    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8504 |   3160.38|[HHM2010] 194.44736+27.22559         |G  |12 57 47.367 +27 13 32.13    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8505 |   3160.78|[HHM2010] 194.32641+27.30022         |G  |12 57 18.341 +27 18 00.78    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8506 |   3160.84|[HHM2010] 194.26267+27.35033         |G  |12 57 03.042 +27 21 01.18    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8507 |   3160.92|[HHM2010] 194.79932+27.11315         |G  |12 59 11.828 +27 06 47.35    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8508 |   3160.94|[HHM2010] 194.85157+27.10713         |G  |12 59 24.372 +27 06 25.66    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8509 |   3160.96|SDSS J125636.65+272742.1             |X  |12 56 36.657 +27 27 42.07    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8510 |   3161.00|GMP 774                              |G  |13 03 47.0 +28 01 49         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8511 |   3161.11|[HHM2010] 194.56621+27.17214         |G  |12 58 15.888 +27 10 19.70    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8512 |   3161.24|[HHM2010] 194.28672+27.33024         |G  |12 57 08.806 +27 19 48.97    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8513 |   3161.41|GMP 4990                             |G  |12 57 14.2 +28 39 05         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8514 |   3161.46|GMP 5482                             |G  |12 56 19.6 +28 24 24         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8515 |   3161.86|[HHM2010] 194.10166+27.52900         |G  |12 56 24.394 +27 31 44.43    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8516 |   3161.90|[HHM2010] 194.18450+27.42506         |G  |12 56 44.278 +27 25 30.25    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8517 |   3162.00|GMP 2517                             |G  |13 00 42.6 +28 50 11         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8518 |   3162.34|[HHM2010] 194.79107+27.11394         |G  |12 59 09.852 +27 06 50.15    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8519 |   3162.45|[HHM2010] 194.22265+27.38599         |G  |12 56 53.438 +27 23 09.52    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8520 |   3163.20|[HHM2010] 194.11702+27.50649         |G  |12 56 28.081 +27 30 23.37    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8521 |   3163.23|[HHM2010] 194.23037+27.37834         |G  |12 56 55.292 +27 22 41.99    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8522 |   3163.40|GMP 2543                             |G  |13 00 39.3 +27 07 19         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8523 |   3163.70|[HHM2010] 194.72150+27.12603         |G  |12 58 53.158 +27 07 33.73    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8524 |   3163.79|[HHM2010] 194.35787+27.27740         |G  |12 57 25.891 +27 16 38.64    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8525 |   3164.51|2MASS J12561642+2734486              |UV |12 56 16.42 +27 34 48.6      |     ~|17.00 |16.45 |15.600|     ~|~              |   0|   0
8526 |   3164.73|[HHM2010] 194.45577+27.21983         |G  |12 57 49.387 +27 13 11.37    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8527 |   3165.04|2MASX J12555260+2807095              |G  |12 55 52.610 +28 07 09.59    |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8528 |   3165.31|GMP 2526                             |G  |13 00 41.4 +28 50 18         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8529 |   3165.39|[HHM2010] 194.78965+27.11328         |G  |12 59 09.513 +27 06 47.81    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8530 |   3165.92|[HHM2010] 194.81854+27.10924         |G  |12 59 16.447 +27 06 33.27    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8531 |   3166.12|[HHM2010] 194.10748+27.51832         |G  |12 56 25.791 +27 31 05.98    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8532 |   3166.57|2MASS J13023135+2837366              |UV |13 02 31.35 +28 37 36.6      |     ~|16.90 |16.50 |     ~|     ~|~              |   0|   0
8533 |   3166.77|[HHM2010] 194.85602+27.10510         |G  |12 59 25.441 +27 06 18.37    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8534 |   3166.86|[HHM2010] 194.39384+27.25361         |G  |12 57 34.523 +27 15 12.99    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8535 |   3166.86|[HHM2010] 194.09712+27.53300         |G  |12 56 23.306 +27 31 58.83    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8536 |   3166.97|[HHM2010] 194.71892+27.12567         |G  |12 58 52.533 +27 07 32.37    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8537 |   3167.35|GMP 1799                             |G  |13 01 51.33 +28 44 12.5      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8538 |   3167.72|[HHM2010] 194.76553+27.11646         |G  |12 59 03.724 +27 06 59.26    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8539 |   3167.73|[HHM2010] 194.60174+27.15755         |GiC|12 58 24.412 +27 09 27.16    |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
8540 |   3167.78|[HHM2010] 194.29235+27.32333         |G  |12 57 10.166 +27 19 23.99    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8541 |   3167.81|GMP 2167                             |G  |13 01 15.9 +27 09 42         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8542 |   3167.86|[HHM2010] 194.08704+27.54780         |G  |12 56 20.887 +27 32 52.09    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8543 |   3168.12|[HHM2010] 194.77857+27.11420         |G  |12 59 06.854 +27 06 51.14    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8544 |   3168.22|[HHM2010] 194.75442+27.11827         |G  |12 59 01.057 +27 07 05.78    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8545 |   3168.59|[HHM2010] 194.78735+27.11272         |G  |12 59 08.961 +27 06 45.80    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8546 |   3168.90|[HHM2010] 194.73130+27.12252         |G  |12 58 55.510 +27 07 21.06    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8547 |   3169.09|GMP 2450                             |G  |13 00 48.0 +28 50 01         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8548 |   3169.60|[HHM2010] 194.09779+27.53053         |G  |12 56 23.466 +27 31 49.92    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8549 |   3169.91|[HHM2010] 194.16853+27.43917         |G  |12 56 40.443 +27 26 21.04    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8550 |   3170.20|[HHM2010] 194.37777+27.26237         |G  |12 57 30.667 +27 15 44.51    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8551 |   3170.42|2MASX J12593376+2706058              |GiC|12 59 33.761 +27 06 05.81    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
8552 |   3170.44|SDSS J125808.26+271054.5             |BiC|12 58 08.261 +27 10 54.50    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8553 |   3170.48|[HHM2010] 194.72591+27.12317         |G  |12 58 54.215 +27 07 23.43    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8554 |   3170.48|2XMMi J125808.5+271113               |ClG|12 58 08.3 +27 10 54         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8555 |   3170.52|SDSSCGB 50746.2                      |G  |12 55 58.030 +28 13 08.08    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8556 |   3170.56|[HHM2010] 194.33373+27.29153         |G  |12 57 20.098 +27 17 29.48    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8557 |   3170.71|[HHM2010] 194.80572+27.10953         |*  |12 59 13.368 +27 06 34.30    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8558 |   3170.73|[HHM2010] 194.15090+27.45933         |G  |12 56 36.212 +27 27 33.63    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8559 |   3171.17|GMP 5672                             |G  |12 56 03.3 +27 41 13         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8560 |   3171.21|GMP 4343                             |G  |12 58 19.3 +27 09 50         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8561 |   3171.35|[HHM2010] 194.79475+27.11086         |G  |12 59 10.737 +27 06 39.10    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8562 |   3171.73|[HHM2010] 194.40697+27.24426         |G  |12 57 37.668 +27 14 39.21    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8563 |   3171.81|[HHM2010] 194.84506+27.10470         |G  |12 59 22.812 +27 06 16.93    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8564 |   3171.91|[HHM2010] 194.75423+27.11726         |G  |12 59 01.012 +27 07 02.14    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8565 |   3172.01|GMP 956                              |G  |13 03 24.8 +27 36 14         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8566 |   3172.27|SDSSCGB 54975.4                      |G  |12 55 50.666 +28 04 50.95    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8567 |   3172.32|GMP 5773                             |G  |12 55 50.936 +28 05 22.38    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8568 |   3172.34|[HHM2010] 194.08669+27.54583         |G  |12 56 20.803 +27 32 45.00    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8569 |   3172.81|[HHM2010] 194.52813+27.18368         |G  |12 58 06.754 +27 11 01.26    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8570 |   3173.22|[HHM2010] 194.37570+27.26264         |G  |12 57 30.170 +27 15 45.49    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8571 |   3173.28|[HHM2010] 194.86106+27.10286         |*  |12 59 26.651 +27 06 10.30    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8572 |   3173.29|[HHM2010] 194.07043+27.57149         |G  |12 56 16.900 +27 34 17.42    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8573 |   3173.32|[FKT2000] ACO 1661 95                |GiC|13 01 08.4 +28 48 44         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8574 |   3173.68|[HHM2010] 194.15221+27.45639         |G  |12 56 36.527 +27 27 23.02    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8575 |   3173.77|[HHM2010] 194.29590+27.31834         |G  |12 57 11.018 +27 19 06.02    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8576 |   3173.79|[HHM2010] 194.09069+27.53888         |G  |12 56 21.763 +27 32 19.99    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8577 |   3173.91|[HHM2010] 194.79860+27.10958         |G  |12 59 11.662 +27 06 34.55    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8578 |   3174.11|[HHM2010] 194.17045+27.43512         |G  |12 56 40.905 +27 26 06.45    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8579 |   3174.36|[HHM2010] 194.74995+27.11735         |G  |12 58 59.985 +27 07 02.45    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8580 |   3174.54|[K94] 125650.68+290604.4             |Rad|12 59 15.4 +28 51 14         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8581 |   3175.22|GMP 2823                             |G  |13 00 15.6 +27 06 15         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8582 |   3175.43|[HHM2010] 194.19009+27.41324         |G  |12 56 45.618 +27 24 47.70    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8583 |   3175.71|GMP 5485                             |G  |12 56 19.5 +28 24 51         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8584 |   3175.89|[HHM2010] 194.39659+27.24894         |G  |12 57 35.183 +27 14 56.16    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8585 |   3176.08|[HHM2010] 194.44220+27.22324         |G  |12 57 46.128 +27 13 23.67    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8586 |   3176.24|[HHM2010] 194.13889+27.47142         |*  |12 56 33.330 +27 28 17.13    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8587 |   3176.30|[HHM2010] 194.31052+27.30629         |G  |12 57 14.527 +27 18 22.63    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8588 |   3176.54|[HHM2010] 194.70875+27.12515         |G  |12 58 50.096 +27 07 30.55    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8589 |   3176.60|SDSSCGB 54975                        |CGG|12 55 50.5 +28 05 10         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8590 |   3176.63|[HHM2010] 194.34591+27.28096         |G  |12 57 23.021 +27 16 51.46    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8591 |   3176.86|2MASX J12591668+2706218              |AGN|12 59 16.685 +27 06 21.80    |     ~|17.09 |     ~|     ~|     ~|~              |  14|   0
8592 |   3177.06|[HHM2010] 194.66517+27.13573         |G  |12 58 39.636 +27 08 08.58    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8593 |   3177.15|[HHM2010] 194.66693+27.13522         |G  |12 58 40.061 +27 08 06.79    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8594 |   3177.63|[HHM2010] 194.06357+27.58058         |*  |12 56 15.252 +27 34 50.11    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8595 |   3177.98|SDSSCGB 54975.2                      |G  |12 55 50.366 +28 05 06.68    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8596 |   3178.19|[HHM2010] 194.57224+27.16476         |G  |12 58 17.336 +27 09 53.14    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8597 |   3178.53|[HHM2010] 194.33359+27.28880         |G  |12 57 20.064 +27 17 19.67    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8598 |   3178.57|[HHM2010] 194.59692+27.15594         |G  |12 58 23.258 +27 09 21.40    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8599 |   3178.63|[HHM2010] 194.09850+27.52464         |G  |12 56 23.635 +27 31 28.73    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8600 |   3178.69|FIRST J130310.1+282746               |Rad|13 03 10.14 +28 27 46.6      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8601 |   3178.90|[HHM2010] 194.11294+27.50405         |G  |12 56 27.102 +27 30 14.61    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8602 |   3179.17|[HHM2010] 194.38533+27.25464         |G  |12 57 32.482 +27 15 16.68    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8603 |   3179.19|[HHM2010] 194.18921+27.41255         |G  |12 56 45.408 +27 24 45.19    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8604 |   3179.28|[HHM2010] 194.77891+27.11102         |G  |12 59 06.936 +27 06 39.61    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8605 |   3179.47|[HHM2010] 194.35789+27.27197         |G  |12 57 25.896 +27 16 19.06    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8606 |   3179.70|GMP 1224                             |G  |13 02 55.2 +27 25 36         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8607 |   3179.89|[HHM2010] 194.30770+27.30710         |G  |12 57 13.850 +27 18 25.53    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8608 |   3180.14|[HHM2010] 194.60338+27.15325         |G  |12 58 24.805 +27 09 11.94    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8609 |   3180.14|[FKT2000] ACO 1661 93                |GiC|13 01 28.1 +28 47 07         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8610 |   3180.61|[HHM2010] 194.10767+27.51048         |G  |12 56 25.837 +27 30 37.76    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8611 |   3180.74|[HHM2010] 194.33585+27.28645         |G  |12 57 20.605 +27 17 11.19    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8612 |   3180.77|GMP 1465                             |G  |13 02 26.6 +28 38 52         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8613 |   3181.24|[FKT2000] ACO 1661 193               |GiC|13 01 22.6 +28 47 40         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8614 |   3181.43|[HHM2010] 194.09526+27.52788         |G  |12 56 22.859 +27 31 40.39    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8615 |   3181.73|GMP 763                              |G  |13 03 48.7 +27 56 55         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8616 |   3181.76|[HHM2010] 194.70585+27.12431         |G  |12 58 49.401 +27 07 27.51    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8617 |   3181.78|[OFK2014] 2                          |gLe|12 56 02.6 +27 41 06         |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
8618 |   3181.91|SDSSCGB 54975.3                      |G  |12 55 50.194 +28 05 21.05    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8619 |   3182.55|2MASX J12560642+2738530              |GiG|12 56 06.427 +27 38 53.02    |     ~|15.5  |     ~|     ~|     ~|~              |  10|   0
8620 |   3182.77|2MASS J13033575+2816230              |UV |13 03 35.75 +28 16 23.0      |     ~|18.70 |18.05 |17.400|     ~|~              |   0|   0
8621 |   3182.93|[HHM2010] 194.64822+27.13868         |G  |12 58 35.570 +27 08 19.26    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8622 |   3182.97|[HHM2010] 194.50465+27.19069         |G  |12 58 01.119 +27 11 26.47    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8623 |   3183.06|[FKT2000] ACO 1661 149               |GiC|13 01 27.8 +28 47 12         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8624 |   3183.08|[HHM2010] 194.11063+27.50509         |G  |12 56 26.547 +27 30 18.35    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8625 |   3183.33|[HHM2010] 194.11697+27.49635         |G  |12 56 28.069 +27 29 46.78    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8626 |   3183.42|GMP 2217                             |G  |13 01 11.9 +27 09 05         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8627 |   3183.48|[HHM2010] 194.35378+27.27329         |*  |12 57 24.910 +27 16 23.84    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8628 |   3183.50|[VAM2015] DF40                       |LSB|12 58 01.1 +27 11 26         |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
8629 |   3183.61|[FKT2000] ACO 1661 112               |GiC|13 01 13.8 +28 48 29         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8630 |   3183.86|GMP 2249                             |G  |13 01 09.1 +27 08 51         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8631 |   3184.68|[HHM2010] 194.33751+27.28390         |G  |12 57 21.005 +27 17 02.02    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8632 |   3184.70|[HHM2010] 194.27926+27.32738         |G  |12 57 07.031 +27 19 38.73    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8633 |   3184.82|[HHM2010] 194.39282+27.24820         |G  |12 57 34.279 +27 14 53.50    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8634 |   3185.03|[HHM2010] 194.46762+27.20740         |*  |12 57 52.230 +27 12 26.63    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8635 |   3185.23|[HHM2010] 194.65009+27.13749         |G  |12 58 36.018 +27 08 14.95    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8636 |   3185.28|[HHM2010] 194.80038+27.10616         |G  |12 59 12.087 +27 06 22.16    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8637 |   3185.41|2XMM J125659.8+272109                |AG?|12 56 59.793 +27 21 09.09    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
8638 |   3185.43|[HHM2010] 194.28990+27.31873         |G  |12 57 09.577 +27 19 07.37    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8639 |   3186.27|GMP 1536                             |G  |13 02 18.6 +28 40 27         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8640 |   3186.37|[HHM2010] 194.71924+27.12007         |G  |12 58 52.610 +27 07 12.17    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8641 |   3186.43|[HHM2010] 194.77160+27.11016         |G  |12 59 05.182 +27 06 36.57    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8642 |   3186.64|[HHM2010] 194.50023+27.19153         |G  |12 58 00.056 +27 11 29.50    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8643 |   3186.75|[HHM2010] 194.70726+27.12256         |G  |12 58 49.738 +27 07 21.22    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8644 |   3186.83|GMP 1415                             |G  |13 02 32.1 +27 19 57         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8645 |   3187.23|[HHM2010] 194.74214+27.11516         |G  |12 58 58.111 +27 06 54.59    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8646 |   3187.26|[HHM2010] 194.11579+27.49593         |G  |12 56 27.786 +27 29 45.36    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8647 |   3187.34|5C 4.131                             |Rad|13 01 30.4 +28 47 01         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
8648 |   3187.96|2MASX J12554898+2754205              |GiC|12 55 48.981 +27 54 20.60    |     ~|16.06 |     ~|     ~|     ~|~              |   8|   0
8649 |   3188.10|[FKT2000] ACO 1661 167               |GiC|13 01 17.3 +28 48 16         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8650 |   3188.10|A2 192                               |*  |12 55 48.742 +27 54 56.93    |     ~|17.4  |17.45 |16.8  |     ~|~              |   0|   0
8651 |   3188.17|[HHM2010] 194.11365+27.49841         |G  |12 56 27.265 +27 29 54.26    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8652 |   3188.54|[HHM2010] 194.22110+27.37683         |G  |12 56 53.067 +27 22 36.54    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8653 |   3188.55|[HHM2010] 194.49673+27.19251         |*  |12 57 59.218 +27 11 33.04    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8654 |   3188.93|[HHM2010] 194.16455+27.43511         |G  |12 56 39.489 +27 26 06.42    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
8655 |   3189.65|[HHM2010] 194.11354+27.49776         |G  |12 56 27.245 +27 29 51.96    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
