C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
99   |[MJ2006] J230503.1+030902.5                   |[MJ2006] J230503.1+030902.5                   |G  |23 05 03.1 +03 09 03         |     ~|     ~|     ~|18.8  |     ~|~                    |   1|   0
100  |[MJ2006] J101039.2+413024.0                   |[MJ2006] J101039.2+413024.0                   |G  |10 10 39.2 +41 30 24         |     ~|     ~|     ~|18.2  |     ~|~                    |   1|   0
101  |[MJ2006] J225352.3+161010.9                   |[MJ2006] J225352.3+161010.9                   |G  |22 53 52.3 +16 10 11         |     ~|     ~|     ~|21.1  |     ~|~                    |   1|   0
102  |[MCK2006] 54                                  |[MCK2006] 54                                  |Rad|13 37 10.010 -29 51 28.24    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
103  |[MJ2006] J101028.4+413356.2                   |[MJ2006] J101028.4+413356.2                   |G  |10 10 28.4 +41 33 56         |     ~|     ~|     ~|22.2  |     ~|~                    |   1|   0
104  |[MJ2006] J234314.6-032013.1                   |[MJ2006] J234314.6-032013.1                   |G  |23 43 14.6 -03 20 13         |     ~|     ~|     ~|21.4  |     ~|~                    |   1|   0
105  |[MJ2006] J234304.0-032245.1                   |[MJ2006] J234304.0-032245.1                   |G  |23 43 04.0 -03 22 45         |     ~|     ~|     ~|19.1  |     ~|~                    |   1|   0
106  |[CVJ2005] For J0332-3557 Lens                 |[CVJ2005] For J0332-3557 Lens                 |G  |03 32 59.0 -35 57 51         |     ~|     ~|     ~|     ~|     ~|~                    |   4|   1
107  |[MJ2006] J091940.7+510810.6                   |[MJ2006] J091940.7+510810.6                   |G  |09 19 40.7 +51 08 11         |     ~|     ~|     ~|19.3  |     ~|~                    |   1|   0
108  |[MJ2006] J162015.9+173444.0                   |[MJ2006] J162015.9+173444.0                   |G  |16 20 15.9 +17 34 44         |     ~|     ~|     ~|19.9  |     ~|~                    |   1|   0
109  |[MJ2006] J012547.7-000757.8                   |[MJ2006] J012547.7-000757.8                   |G  |01 25 47.7 -00 07 58         |     ~|     ~|     ~|19.8  |     ~|~                    |   1|   0
110  |[MJ2006] J012526.3-000456.1                   |[KSS94] J012528.9-000556 7                    |G  |01 25 26.4 -00 04 56         |     ~|     ~|     ~|20.6  |     ~|~                    |   1|   0
111  |[SM2006] W12073                               |[SM2006] W12073                               |V* |01 33 45.15 +30 44 19.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
112  |[MTK2001] IRS1 (SMM)                          |[MTK2001] IRS1 (SMM)                          |smm|23 13 45.6 +61 28 11         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
113  |[MJ2006] J041701.0-055143.6                   |[MJ2006] J041701.0-055143.6                   |G  |04 17 01.0 -05 51 44         |     ~|     ~|     ~|20.7  |     ~|~                    |   1|   0
114  |[MJ2006] J011024.5-021938.5                   |[MJ2006] J011024.5-021938.5                   |G  |01 10 24.5 -02 19 39         |     ~|     ~|     ~|19.4  |     ~|~                    |   2|   0
115  |[PLS91] D'                                    |[PLS91] D'                                    |LeI|21 53 34.36 +17 42 18.6      |     ~|24.39 |     ~|     ~|     ~|~                    |   0|   0
116  |[MJ2006] J012539.6-000518.5                   |[MJ2006] J012539.6-000518.5                   |G  |01 25 39.6 -00 05 18         |     ~|     ~|     ~|19.1  |     ~|~                    |   1|   0
117  |[SVR2015] M59-UCD3                            |SDSS J124211.04+113841.2                      |G  |12 42 11.041 +11 38 41.21    |     ~|     ~|     ~|     ~|     ~|~                    |  10|   0
118  |[MJ2006] J234651.3+093413.1                   |[MJ2006] J234651.3+093413.1                   |G  |23 46 51.3 +09 34 13         |     ~|     ~|     ~|20.4  |     ~|~                    |   1|   0
119  |[SM2006] W21810                               |LGGS J013418.56+303808.6                      |s*r|01 34 18.55 +30 38 07.9      |     ~|18.83 |16.95 |16.00 |     ~|~                    |   3|   0
120  |[MCK2006] 17                                  |[MCK2006] 17                                  |Rad|13 36 54.400 -29 53 05.17    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
