C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
9769 |[AM2002] 028.7924-09.3172                     |[AM2002] 028.7924-09.3172                     |GrG|01 55 10.2 -09 19 02         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9770 |[TSW99]  288.000                              |[TSW99] 288.000                               |G  |12 36 48.94 +62 12 08.1      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9771 |[TSW99]  288.100                              |[TSB2006] 60                                  |G  |12 36 48.979 +62 12 08.06    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
9772 |[TSW99]  288.200                              |[TSW99] 288.200                               |PoG|12 36 49.01 +62 12 08.1      |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
9773 |[WMF2005] QSO J1208-3046 abs 2.885            |[WMF2005] QSO J1208-3046 abs 2.885            |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9774 |[OCC99] QSO J1757+7539 abs 2.896              |[OCC99] QSO J1757+7539 abs 2.896              |ALS|17 57 46.5 +75 39 16         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9775 |[TSW99]  290.000                              |[TSW99] 290.000                               |G  |12 36 49.278 +62 12 20.05    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
9776 |[TSW99]  291.000                              |[TSW99] 291.000                               |G  |12 36 49.30 +62 12 10.5      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9777 |[OCC99] QSO J1757+7539 abs 2.910              |[OCC99] QSO J1757+7539 abs 2.910              |ALS|17 57 46.5 +75 39 16         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
9778 |OH 291.3   -0.7                               |OH 291.3 -0.7                                 |HII|11 11 57.2 -61 18 51         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   1
9779 |AN   29.1904                                  |HD 156294                                     |C* |17 18 59.282 -45 57 56.45    |     ~|12.43 | 9.86 |     ~|     ~|C                    |   5|   0
9780 |AN   29.1907                                  |V* RZ Aur                                     |Al*|05 49 21.9 +31 42 11         |     ~|     ~|11.9  |     ~|     ~|A                    |  10|   0
9781 |AN   29.1920                                  |V* Y Hor                                      |V* |02 36 47.5 -51 29 05         |     ~|12    |     ~|     ~|     ~|~                    |   0|   0
9782 |AN   29.1924                                  |V* AA Oph                                     |V* |17 12 25.19 -14 20 26.6      |     ~|13.7  |     ~|13.200|     ~|~                    |   0|   0
9783 |AN   29.1925                                  |V* DX Sgr                                     |Mi*|19 06 05.81 -12 55 25.8      |     ~|13.8  |     ~|10.900|     ~|~                    |   1|   0
9784 |AN   29.1928                                  |NSV 12628                                     |V* |19 58 17.07 +18 33 38.3      |     ~|14.100|     ~|11.500|     ~|~                    |   0|   0
9785 |AN   29.1930                                  |V* FX Lyr                                     |LP*|18 37 25.831 +28 54 38.38    |     ~|     ~|     ~|12.12 |     ~|~                    |   0|   0
9786 |AN   29.1932                                  |AN 29.1932                                    |V* |23 20 54.0 -71 35 00         |     ~|     ~|14    |     ~|     ~|~                    |   0|   0
9787 |AN   29.1933                                  |SV* P 795                                     |V* |12 12 59.0 +47 54 42         |     ~|     ~|12.0  |     ~|     ~|~                    |   0|   0
9788 |AN   29.1934                                  |AN 29.1934                                    |V* |19 58 48.0 +46 37 12         |     ~|13    |     ~|     ~|     ~|~                    |   0|   0
9789 |AN   29.1937                                  |AN 29.1937                                    |V* |12 46 06.0 -08 39 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9790 |AN   29.1938                                  |TYC 2683-648-1                                |V* |20 11 19.666 +36 34 06.82    |     ~|12.36 |11.00 |10.56 |     ~|~                    |   0|   0
9791 |AN   29.1939                                  |AN 29.1939                                    |V* |17 07 15.0 +36 18 54         |     ~|13.5  |     ~|     ~|     ~|~                    |   0|   0
9792 |AN   29.1942                                  |V* V494 Cen                                   |RR*|12 50 32.41 -38 16 30.7      |     ~|12.500|13.1  |12.700|     ~|~                    |   2|   0
9793 |[TSW99]  292.000                              |MODS deep 1459                                |G  |12 36 49.3348 +62 12 14.437  |26.6  |26.3  |26.1  |     ~|     ~|~                    |   8|   0
9794 |[TSW99]  293.000                              |[TSW99] 293.000                               |G  |12 36 49.463 +62 12 22.51    |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
9795 |[ACL2005] QSO J0942-1104 abs 2.9375           |[ACL2005] QSO J0942-1104 abs 2.9375           |ALS|09 42 53.50 -11 04 25.9      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9796 |[TSW99]  294.000                              |[TSW99] 294.000                               |G  |12 36 49.504 +62 12 12.05    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
9797 |[WMF2005] QSO J1208-3046 abs 2.9427           |[WMF2005] QSO J1208-3046 abs 2.9427           |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9798 |OH 294.50  -1.75                              |OH 294.50 -1.75                               |Mas|11 35 07.0 -63 22 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9799 |[TSW99]  295.000                              |[TSW99] 295.000                               |G  |12 36 49.58 +62 12 20.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9800 |[TSW99]  295.100                              |MODS deep 1526                                |PoG|12 36 49.5281 +62 12 20.446  |24.88 |25.76 |25.43 |     ~|24.49 |~                    |  13|   0
9801 |[AM2002] 029.5184-25.5656                     |[AM2002] 029.5184-25.5656                     |GrG|01 58 04.4 -25 33 56         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9802 |[TSW99]  296.000                              |MODS deep 1461                                |EmG|12 36 49.6084 +62 12 12.680  |26.0  |25.69 |25.50 |25.32 |25.59 |~                    |  10|   0
9803 |[WMF2005] QSO J1208-3046 abs 2.9639           |[WMF2005] QSO J1208-3046 abs 2.9639           |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9804 |[TSW99]  297.000                              |[TSW99] 297.000                               |G  |12 36 49.60 +62 12 14.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9805 |[TSW99]  299.000                              |[TSW99] 299.000                               |G  |12 36 49.94 +62 12 16.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9806 |[WMF2005] QSO J1208-3046 abs 2.991            |[WMF2005] QSO J1208-3046 abs 2.991            |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9807 |[TSW99]  300.000                              |[TSW99] 300.000                               |G  |12 36 49.97 +62 12 16.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9808 |OH 300.51  +0.18                              |OH 300.51 +0.18                               |Mas|12 30 04.4 -62 57 01         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9809 |PLX 3006.00                                   |* alf Com                                     |** |13 09 59.28520 +17 31 46.0389|     ~| 4.77 | 4.32 | 4.1  | 3.9  |F5V+F6V              |  82|   0
9810 |[WMF2005] QSO J1208-3046 abs 3.007            |[WMF2005] QSO J1208-3046 abs 3.007            |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9811 |[TSW99]  301.000                              |[TSW99] 301.000                               |G  |12 36 50.15 +62 12 17.4      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9812 |OH 301.14  -0.23                              |OH 301.14 -0.23                               |cor|12 35 35.14 -63 02 32.6      |     ~|     ~|     ~|     ~|     ~|~                    |  13|   0
9813 |AN   30.1905                                  |V* GQ Aql                                     |Mi*|19 34 59.75 -00 32 26.4      |     ~|14.4  |     ~|11.700|     ~|~                    |   1|   0
9814 |AN   30.1914                                  |AN 30.1914                                    |RR*|15 26 28.35 -04 18 53.7      |     ~|     ~|15.33 |     ~|     ~|~                    |   1|   0
9815 |AN   30.1916                                  |V* U Cha                                      |Mi*|13 48 26.33 -82 39 26.4      |     ~|11.0  |     ~|11.700|     ~|~                    |   1|   0
9816 |AN   30.1920                                  |V* Z Hor                                      |*  |02 51 08.7 -52 35 45         |     ~|13    |     ~|     ~|     ~|~                    |   0|   1
9817 |AN   30.1925                                  |V* CO Aql                                     |Mi*|19 09 32.83 -10 17 48.0      |     ~|13.2  |     ~|13.300|     ~|~                    |   1|   0
9818 |AN   30.1926                                  |V* BK Oph                                     |Mi*|18 36 00.637 +07 41 09.65    |     ~|12.73 |11.37 |     ~|     ~|M5/7e                |   3|   0
9819 |AN   30.1928                                  |NSV 12545                                     |V* |19 54 31.41 +19 21 23.6      |     ~|14.500|     ~|13.200|     ~|~                    |   0|   0
9820 |AN   30.1933                                  |SV* P 796                                     |V* |12 14 30.0 +50 23 54         |     ~|     ~|12.5  |     ~|     ~|~                    |   0|   0
9821 |AN   30.1937                                  |AN 30.1937                                    |V* |14 06 00.0 -03 11 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9822 |[TSW99]  302.000                              |[TSW99] 302.000                               |G  |12 36 50.17 +62 12 17.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9823 |[AM2002] 030.2063-32.1871                     |[AM2002] 030.2063-32.1871                     |GrG|02 00 49.5 -32 11 14         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9824 |[TSW99]  302.100                              |[TSW99] 302.100                               |G  |12 36 50.17 +62 12 17.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9825 |[TSW99]  302.200                              |[TSW99] 302.200                               |G  |12 36 50.03 +62 12 16.3      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9826 |[CPB2005] GRB 050730 abs 3.02209              |[CPB2005] GRB 050730 abs 3.02209              |ALS|14 08 17.14 -03 46 17.8      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9827 |[TSW99]  303.000                              |[TSW99] 303.000                               |G  |12 36 50.26 +62 12 18.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9828 |[WMF2005] QSO J1208-3046 abs 3.0336           |[WMF2005] QSO J1208-3046 abs 3.0336           |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9829 |[WMF2005] QSO J1208-3046 abs 3.0485           |[WMF2005] QSO J1208-3046 abs 3.0485           |ALS|12 08 12.74 -30 31 07.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9830 |OH 305.20  +0.21                              |OH 305.20 +0.21                               |Mas|13 11 10.4904 -62 34 38.856  |     ~|     ~|     ~|     ~|     ~|~                    |  22|   0
9831 |OH 305.36  +0.15                              |MMB G305.362+00.150                           |Mas|13 12 35.86 -62 37 17.9      |     ~|     ~|     ~|     ~|     ~|~                    |   7|   0
9832 |PLX 3057.00                                   |TYC 5550-785-1                                |PM*|13 23 44.2056 -14 02 45.676  |     ~|12.41 |12.00 |     ~|     ~|~                    |   0|   0
9833 |OH 305.81  -0.24                              |OH 305.81 -0.24                               |Mas|13 16 46.3 -62 58 17         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9834 |[AM2002] 030.6148-29.3072                     |[AM2002] 030.6148-29.3072                     |GrG|02 02 27.6 -29 18 26         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9835 |[IIL98] QSO J0831+5245 abs 3.07               |[IIL98] QSO J0831+5245 abs 3.07               |ALS|08 31 41.70 +52 45 17.3      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
9836 |OH 307.75  -0.50                              |OH 307.75 -0.50                               |Mas|13 34 03.0 -62 58 36         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9837 |SDSSCGB 3080.1                                |SDSSCGB 3080.1                                |GiG|08 27 57.182 +30 37 35.05    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9838 |SDSSCGB 3080.4                                |SDSSCGB 3080.4                                |GiG|08 27 57.022 +30 37 32.57    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9839 |OH 308.9   +0.1                               |OH 308.9 +0.1                                 |ISM|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9840 |OH 309.39  -0.13                              |OH 309.39 -0.13                               |Mas|13 47 23.4 -62 18 25         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
9841 |OH 309.92  -0.48                              |OH 309.92 -0.48                               |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9842 |PLX 3101.10                                   |L 330-30                                      |PM*|13 35 32.46 -46 41 52.9      |     ~|13.6  |13.21 |     ~|     ~|K2:                  |   1|   0
9843 |AN   31.1908                                  |V* RS Ser                                     |WU*|18 17 18.520 -13 03 36.87    |     ~|11.61 |11.05 |     ~|     ~|F8                   |   8|   0
9844 |AN   31.1917                                  |V* XZ Oph                                     |RR*|16 54 39.76 -29 09 51.1      |     ~|12.3  |     ~|12.000|     ~|~                    |   4|   0
9845 |AN   31.1919                                  |V* SY Lib                                     |V* |15 03 32.0 -11 32 15         |     ~|     ~|12.50 |     ~|     ~|~                    |   0|   0
9846 |AN   31.1924                                  |V* AC Oph                                     |V* |17 14 13.61 -13 20 39.9      |     ~|12.3  |     ~|12.600|     ~|~                    |   0|   0
9847 |AN   31.1925                                  |V* DY Sgr                                     |Mi*|19 10 31.95 -12 56 34.1      |     ~|13.7  |     ~|12.200|     ~|~                    |   0|   0
9848 |AN   31.1927                                  |V* VV Sex                                     |LP*|09 45 22.804 +03 57 32.64    |     ~|12.49 |11.53 |     ~|     ~|~                    |   2|   0
9849 |AN   31.1928                                  |NSV 12544                                     |V* |19 54 28.10 +18 19 49.3      |     ~|14.000|     ~|11.700|     ~|~                    |   0|   0
9850 |AN   31.1929                                  |V* AD Aqr                                     |LP*|21 17 40.6170 -13 06 52.700  |     ~|12.00 |10.75 |     ~|     ~|M2                   |   0|   0
9851 |AN   31.1930                                  |V* GK Her                                     |LP*|18 44 22.29 +25 53 16.1      |     ~|13.2  |     ~|11.100|     ~|~                    |   0|   0
9852 |AN   31.1932                                  |AN 31.1932                                    |V* |08 23 18.0 -71 05 00         |     ~|     ~|14.5  |     ~|     ~|~                    |   0|   0
9853 |AN   31.1933                                  |SV* P 798                                     |V* |12 16 04.0 +55 31 00         |     ~|     ~|11.0  |     ~|     ~|~                    |   0|   0
9854 |AN   31.1934                                  |AN 31.1934                                    |V* |20 13 44.0 +05 29 54         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9855 |AN   31.1935                                  |V* CR Vir                                     |LP*|14 37 54.673 +03 31 19.23    |     ~|11.09 | 9.73 |     ~|     ~|M5                   |   1|   0
9856 |AN   31.1937                                  |SV* P 3879                                    |V* |15 08 48.0 -41 58 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9857 |AN   31.1940                                  |V* DN Per                                     |RI*|02 26 20.6 +52 44 29         |     ~|14.8  |     ~|     ~|     ~|~                    |   0|   0
9858 |AN   31.1942                                  |V* V496 Cen                                   |cC*|13 03 10.68409 -60 52 38.8713|     ~|11.03 |10.00 |     ~| 8.544|G5                   |  26|   0
9859 |OH 312.60  +0.05                              |OH 312.60 +0.05                               |Mas|14 13 15.9 -61 16 43         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9860 |PLX 3129.01                                   |Ross 1015                                     |PM*|13 42 43.27003 +33 17 24.3552|     ~|14.38 |13.896|11.672|     ~|M4V                  |  33|   0
9861 |OH 313.47  +0.19                              |OH 313.47 +0.19                               |Mas|14 19 43.0 -60 51 57         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9862 |OH 314.867 -2.087                             |OH 314.867 -2.087                             |OH*|14 37 41.010 -62 28 15.52    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9863 |OH 314.876 -3.204                             |SCHD 6                                        |Mas|14 41 44.224 -63 29 20.37    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9864 |[AM2002] 031.4930-06.8843                     |[AM2002] 031.4930-06.8843                     |GrG|02 05 58.3 -06 53 03         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9865 |OH 314.933 -2.052                             |IRAS 14341-6211                               |pA*|14 38 04.98 -62 24 47.6      |     ~|     ~|     ~|     ~|     ~|~                    |  12|   0
9866 |[AM2002] 031.5281-23.1068                     |[AM2002] 031.5281-23.1068                     |GrG|02 06 06.7 -23 06 24         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9867 |OH 316.380 -0.227                             |OH 316.380 -0.227                             |OH*|14 42 53.036 -60 09 21.58    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9868 |OH 316.563 +1.409                             |SCHD 4                                        |Mas|14 38 56.480 -58 35 19.94    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9869 |OH 316.692 +0.995                             |SCHD 5                                        |Mas|14 41 08.614 -58 54 54.14    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9870 |OH 316.77  -0.02                              |OH 316.77 -0.02                               |Mas|14 44 58.8 -59 48 09         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
9871 |OH 317.201 -0.688                             |OH 317.201 -0.688                             |OH*|14 50 26.366 -60 13 15.05    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9872 |OH 317.517 -2.134                             |OH 317.517 -2.134                             |OH*|14 58 08.115 -61 21 53.40    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9873 |OH 317.752 +1.613                             |OH 317.752 +1.613                             |OH*|14 46 30.812 -57 54 31.12    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9874 |OH 317.829 +2.792                             |SCHD 8                                        |Mas|14 43 19.825 -56 48 31.29    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9875 |OH 318.05  +0.08                              |OH 318.05 +0.08                               |cor|14 53 42.67 -59 08 52.4      |     ~|     ~|     ~|     ~|     ~|~                    |  10|   0
9876 |OH 318.121 +0.866                             |OH 318.121 +0.866                             |OH*|14 51 30.430 -58 25 11.92    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9877 |OH 318.128 -0.113                             |OH 318.128 -0.113                             |OH*|14 54 57.934 -59 17 25.06    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9878 |OH 318.855 +1.066                             |OH 318.855 +1.066                             |OH*|14 55 46.902 -57 54 33.01    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9879 |OH 319.162 -0.144                             |OH 319.162 -0.144                             |OH*|15 02 10.960 -58 49 59.36    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9880 |OH 319.83  -0.21                              |OH 319.83 -0.21                               |Mas|15 06 56.7 -58 33 43         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9881 |OH 319.867 +1.753                             |OH 319.867 +1.753                             |OH*|15 00 02.311 -56 49 45.11    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9882 |OH 320.608 -0.197                             |OH 320.608 -0.197                             |OH*|15 11 59.718 -58 09 38.98    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
9883 |OH 321.14  -0.53                              |OH 321.14 -0.53                               |Mas|15 16 46.3 -58 10 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9884 |OH 321.330 -2.867                             |OH 321.330 -2.867                             |OH*|15 27 55.051 -60 01 33.10    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9885 |OH 321.411 -2.627                             |OH 321.411 -2.627                             |OH*|15 27 22.422 -59 46 54.99    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9886 |OH 321.565 +1.274                             |OH 321.565 +1.274                             |OH*|15 12 29.292 -56 24 26.58    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9887 |OH 321.754 -0.216                             |OH 321.754 -0.216                             |OH*|15 19 24.661 -57 34 35.89    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9888 |AN   32.1901                                  |V* U Tel                                      |Mi*|19 08 02.270 -48 54 12.05    |     ~|10.60 | 9.1  |14.000|     ~|M7e                  |   6|   0
9889 |AN   32.1903                                  |V* HO Ori                                     |Or*|05 31 57.79 -04 26 51.5      |     ~|15.3  |15.2  |14.800|     ~|~                    |   0|   0
9890 |AN   32.1905                                  |V* GS Aql                                     |V* |19 35 52.33 +04 03 28.0      |     ~|14.8  |     ~|12.000|     ~|~                    |   0|   0
9891 |AN   32.1916                                  |V* RW Oct                                     |RR*|18 29 04.68 -88 32 32.2      |     ~|12.8  |     ~|     ~|     ~|~                    |   3|   0
9892 |AN   32.1924                                  |V* AD Oph                                     |V* |17 15 00.93 -15 03 08.0      |     ~|12.2  |     ~|10.500|     ~|~                    |   0|   0
9893 |AN   32.1925                                  |V* CP Aql                                     |Mi*|19 11 34.33 -10 15 52.7      |     ~|14.2  |     ~|12.000|     ~|~                    |   1|   0
9894 |AN   32.1928                                  |NSV 12480                                     |V* |19 51 34.12 +20 02 16.1      |     ~|14.100|     ~|13.900|     ~|~                    |   0|   0
9895 |AN   32.1930                                  |V* FZ Lyr                                     |LP*|18 44 09.23 +32 16 42.1      |     ~|14.0  |     ~|12.100|     ~|~                    |   0|   0
9896 |AN   32.1932                                  |AN 32.1932                                    |V* |08 26 30.0 -71 11 00         |     ~|     ~|14.5  |     ~|     ~|~                    |   0|   0
9897 |AN   32.1933                                  |SV* P 804                                     |V* |12 18 39.0 +40 01 42         |     ~|     ~|12.0  |     ~|     ~|~                    |   0|   0
9898 |AN   32.1934                                  |AN 32.1934                                    |V* |20 09 18.0 +66 56 48         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9899 |AN   32.1937                                  |SV* P 3888                                    |V* |15 11 00.0 -40 51 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9900 |AN   32.1938                                  |AN 32.1938                                    |V* |19 45 06.0 +31 18 00         |     ~|12.2  |     ~|     ~|     ~|~                    |   0|   0
9901 |AN   32.1939                                  |V* KS Her                                     |Mi*|17 29 28.48 +32 33 32.2      |     ~|13.5  |     ~|10.900|     ~|M7                   |   0|   0
9902 |AN   32.1942                                  |V* V497 Cen                                   |Mi*|13 17 58.06 -41 40 26.4      |     ~|10.8  |     ~|10.800|     ~|Me                   |   3|   0
9903 |OH 322.447 +1.245                             |OH 322.447 +1.245                             |OH*|15 18 00.293 -55 58 16.91    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9904 |OH 322.800 -1.851                             |SCHD 31                                       |Mas|15 32 49.526 -58 21 13.88    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9905 |OH 322.973 -0.498                             |OH 322.973 -0.498                             |OH*|15 28 06.848 -57 08 34.86    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9906 |OH 323.117 -0.476                             |OH 323.117 -0.476                             |OH*|15 28 54.302 -57 02 37.19    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9907 |OH 323.268 +0.362                             |SCHD 23                                       |Mas|15 26 23.751 -56 15 55.67    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9908 |OH 323.633 -2.447                             |OH 323.633 -2.447                             |OH*|15 40 37.798 -58 20 46.50    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9909 |OH 323.74  -0.25                              |OH 323.74 -0.25                               |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9910 |OH 324.049 +1.437                             |OH 324.049 +1.437                             |OH*|15 26 44.536 -54 56 14.62    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9911 |OH 324.143 -3.216                             |OH 324.143 -3.216                             |OH*|15 47 18.678 -58 38 46.95    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9912 |OH 324.290 +0.585                             |OH 324.290 +0.585                             |OH*|15 31 30.692 -55 30 13.46    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9913 |OH 324.481 -1.432                             |OH 324.481 -1.432                             |OH*|15 41 09.036 -57 01 34.28    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9914 |OH 324.70  +0.33                              |OH 324.70 +0.33                               |Mas|15 34 55.9 -55 28 25         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9915 |OH 324.826 +0.686                             |OH 324.826 +0.686                             |OH*|15 34 10.821 -55 06 45.13    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9916 |OH 325.590 +0.449                             |SCHD 36                                       |Mas|15 39 27.468 -54 51 17.39    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9917 |OH 325.936 +0.628                             |SCHD 39                                       |Mas|15 40 38.278 -54 30 18.59    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9918 |OH 326.237 -0.322                             |OH 326.237 -0.322                             |OH*|15 46 17.742 -55 04 38.63    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9919 |OH 326.5   -0.4                               |OH 326.5 -0.4                                 |pA*|15 48 19.37 -54 58 21.2      |     ~|     ~|     ~|     ~|     ~|~                    |  20|   0
9920 |OH 326.609 +2.297                             |OH 326.609 +2.297                             |OH*|15 37 35.449 -52 45 47.74    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9921 |OH 326.626 -0.083                             |AKARI-IRC-V1 J1547243-543856                  |Mas|15 47 24.302 -54 38 56.92    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9922 |OH 326.808 +2.081                             |OH 326.808 +2.081                             |OH*|15 39 29.851 -52 49 09.84    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9923 |OH 326.856 -0.787                             |OH 326.856 -0.787                             |OH*|15 51 42.295 -55 03 19.99    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9924 |OH 326.9   -0.9                               |OH 326.9 -0.9                                 |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9925 |PLX 3269.02                                   |G 65-49                                       |PM*|14 24 55.98373 +08 53 15.4283|15.155|13.86 |12.257|11.154| 9.772|M3V                  |  20|   0
9926 |OH 326.932 +2.754                             |OH 326.932 +2.754                             |OH*|15 37 31.772 -52 12 13.15    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
9927 |OH 326.935 +2.778                             |OH 326.935 +2.778                             |OH*|15 37 27.027 -52 10 57.97    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9928 |OH 327.1   -0.3                               |OH 327.1 -0.3                                 |Mas|15 50 47.1 -54 29 31         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9929 |OH 327.10  -0.30                              |OH 327.10 -0.30                               |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9930 |OH 327.102 -0.263                             |OH 327.102 -0.263                             |OH*|15 50 44.782 -54 29 38.10    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9931 |OH 327.29  -0.58                              |OH 327.29 -0.58                               |cor|15 53 07.65 -54 37 06.1      |     ~|     ~|     ~|     ~|     ~|~                    |  20|   0
9932 |OH 327.3   -0.6                               |OH 327.3 -0.6                                 |Mas|15 53 07.3 -54 35 08         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9933 |OH 327.40  -0.10                              |OH 327.40 -0.10                               |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
9934 |OH 327.40  -0.60                              |OH 327.40 -0.60                               |Mas|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
