[WTM2001] BCG                                 23.7733 0.733056
[BM2000] 0481.5+0525.5                        21.8927 17.6446
[BM2000] 0484.9+1075.5                        21.8778 17.7011
[BM2000] 0488.5+0430.3                        21.8972 17.6968
[BM2000] 0490.6+0178.5                        21.8973 17.7567
[BM2000] 0491.4+1014.0                        21.9164 17.6571
[BM2000] 0492.4+1090.9                        21.9119 17.6547
[BM2000] 0492.6+1164.6                        21.8927 17.7149
[BM2000] 0492.7+1030.2                        21.8779 17.703
[BM2000] 0494.2+0691.8                        21.8973 17.6367
[BM2000] 0494.7+0598.1                        21.9164 17.7244
[BM2000] 0495.2+0974.0                        21.8927 17.7231
[BM2000] 0497.7+0839.0                        21.912 17.717
[BM2000] 0498.3+0806.2                        21.8928 17.6324
[BM2000] 0498.7+0547.7                        21.8973 17.6429
[BM2000] 0499.5+0208.2                        21.8927 17.7075
[BM2000] 0499.5+1211.8                        21.9119 17.6496
[BM2000] 0501.4+1116.7                        21.8973 17.716
[BM2000] 0503.4+1177.5                        21.912 17.7025
[BM2000] 0503.5+0189.0                        21.8927 17.7078
[BM2000] 0503.5+0222.2                        21.8972 17.7058
[BM2000] 0504.2+0629.9                        21.8974 17.6394
[BM2000] 0507.5+0118.2                        21.8734 17.6915
[BM2000] 0508.8+1104.4                        21.9165 17.7025
[BM2000] 0510.3+0225.5                        21.8928 17.6576
[BM2000] 0511.5+0840.0                        21.8972 17.6791
[BM2000] 0513.1+0402.4                        21.8927 17.6988
[BM2000] 0513.7+0439.7                        21.8734 17.6775
[BM2000] 0516.2+0848.1                        21.8927 17.6794
[BM2000] 0516.2+0863.2                        21.8734 17.6592
[BM2000] 0516.9+0554.4                        21.912 17.6778
[BM2000] 0517.2+0489.4                        21.8927 17.695
[BM2000] 0520.2+1059.5                        21.8779 17.7017
[BM2000] 0524.5+0815.4                        21.878 17.7123
[BM2000] 0525.9+1135.4                        21.8974 17.6175
[BM2000] 0526.6+0994.6                        21.8973 17.6724
[BM2000] 0527.1+0786.1                        21.8735 17.6625
[BM2000] 0527.4+0667.9                        21.8928 17.6872
[BM2000] 0529.3+0935.6                        21.9076 17.7136
[BM2000] 0531.1+0063.3                        21.8929 17.7626
[BM2000] 0534.6+0233.2                        21.8974 17.7543
[BM2000] 0534.8+0491.4                        21.9076 17.7328
[BM2000] 0539.6+0388.6                        21.8974 17.6986
[BM2000] 0539.6+0993.9                        21.878 17.7046
[BM2000] 0543.6+0073.1                        21.8974 17.7612
[BM2000] 0548.4+0599.9                        21.9121 17.6758
[BM2000] 0549.0+1255.5                        21.8735 17.6422
[BM2000] 0549.1+0027.1                        21.9166 17.749
[BM2000] 0552.0+0313.8                        21.878 17.6826
[BM2000] 0554.3+0103.4                        21.8975 17.7599
[BM2000] 0556.2+0546.4                        21.8781 17.724
[BM2000] 0558.7+0478.4                        21.8929 17.6955
[BM2000] 0559.1+0242.5                        21.8736 17.6861
[BM2000] 0559.8+0734.8                        21.9077 17.7223
[BM2000] 0561.1+1083.2                        21.8929 17.6693
[BM2000] 0565.1+1204.7                        21.8974 17.6632
[BM2000] 0569.6+0764.7                        21.8974 17.6823
[BM2000] 0569.9+1069.9                        21.8781 17.6498
[BM2000] 0573.2+1200.5                        21.8975 17.6146
[BM2000] 0574.0+0385.0                        21.893 17.6507
[BM2000] 0575.4+1239.6                        21.893 17.6136
[BM2000] 0576.0+0152.1                        21.8782 17.7411
[BM2000] 0576.3+0452.7                        21.8929 17.6966
[BM2000] 0579.9+0490.0                        21.8975 17.7431
[BM2000] 0581.8+0854.3                        21.8885 17.6311
[BM2000] 0584.7+1298.7                        21.9122 17.6974
[BM2000] 0584.8+0855.1                        21.8736 17.6595
[BM2000] 0585.1+0016.9                        21.8885 17.6673
[BM2000] 0586.1+0457.5                        21.8691 17.7295
[BM2000] 0589.5+0266.0                        21.9167 17.6899
[BM2000] 0589.6+0867.6                        21.8691 17.7118
[BM2000] 0591.8+1069.7                        21.8976 17.6203
[BM2000] 0592.0+0055.4                        21.8691 17.7469
[BM2000] 0595.3+1192.4                        21.8781 17.6444
[BM2000] 0598.0+0176.8                        21.8976 17.7567
[BM2000] 0599.7+0159.3                        21.9167 17.6945
[BM2000] 0599.9+0808.4                        21.9122 17.6668
[BM2000] 0601.4+0126.1                        21.8782 17.6907
[BM2000] 0602.6+0225.0                        21.8782 17.6865
[BM2000] 0604.7+0220.5                        21.893 17.7064
[BM2000] 0606.8+0205.0                        21.8931 17.7564
[BM2000] 0606.8+0512.2                        21.893 17.6939
[BM2000] 0608.2+1076.8                        21.8692 17.7027
[BM2000] 0608.4+0688.3                        21.8931 17.6375
[BM2000] 0610.9+0714.8                        21.8931 17.7343
[BM2000] 0612.7+0846.4                        21.8931 17.6306
[BM2000] 0614.3+0690.9                        21.8931 17.6374
[BM2000] 0615.1+1085.1                        21.8692 17.6502
[BM2000] 0616.3+0866.3                        21.8931 17.6298
[BM2000] 0617.8+0172.0                        21.8783 17.7402
[BM2000] 0618.1+0919.4                        21.8782 17.6563
[BM2000] 0618.3+0139.6                        21.8886 17.662
[BM2000] 0620.1+0091.1                        21.9079 17.7501
[BM2000] 0620.9+0407.9                        21.9168 17.7325
[BM2000] 0621.7+0055.5                        21.8692 17.7469
[BM2000] 0622.1+0651.0                        21.8976 17.6872
[BM2000] 0622.7+1184.8                        21.9079 17.7028
[BM2000] 0623.8+1160.9                        21.8932 17.617
[BM2000] 0624.0+0412.1                        21.8692 17.7314
[BM2000] 0625.4+0482.3                        21.8692 17.7284
[BM2000] 0625.6+0841.2                        21.8783 17.7112
[BM2000] 0625.7+0107.5                        21.8738 17.6919
[BM2000] 0626.0+1049.4                        21.9123 17.6564
[BM2000] 0628.1+0428.2                        21.9124 17.7351
[BM2000] 0628.5+0275.7                        21.8738 17.6846
[BM2000] 0629.4+1170.4                        21.8692 17.6986
[BM2000] 0632.0+0562.0                        21.8783 17.7233
[BM2000] 0634.1+0144.2                        21.8693 17.6909
[BM2000] 0637.6+0918.7                        21.8887 17.6282
[BM2000] 0637.8+1133.0                        21.8783 17.647
[BM2000] 0638.2+0979.2                        21.8932 17.6249
[BM2000] 0639.1+0759.7                        21.8978 17.6337
[BM2000] 0639.9+0330.9                        21.8931 17.7017
[BM2000] 0641.1+0250.8                        21.8977 17.7535
[BM2000] 0643.0+0340.5                        21.9079 17.7393
[BM2000] 0643.8+1271.5                        21.8932 17.6122
[BM2000] 0644.6+0051.0                        21.8784 17.7455
[BM2000] 0644.6+0863.2                        21.8932 17.6299
[BM2000] 0645.0+0901.5                        21.8978 17.6275
[BM2000] 0645.6+0135.9                        21.8693 17.7434
[BM2000] 0645.9+0984.0                        21.8978 17.6239
[BM2000] 0646.0+0199.7                        21.8693 17.7406
[BM2000] 0647.7+0642.7                        21.8738 17.6687
[BM2000] 0647.8+1073.9                        21.8738 17.7019
[BM2000] 0648.7+1226.9                        21.8932 17.6141
[BM2000] 0650.0+0165.4                        21.8933 17.7581
[BM2000] 0650.0+0558.8                        21.9124 17.7294
[BM2000] 0655.3+1172.6                        21.8977 17.6646
[BM2000] 0657.3+0678.2                        21.8784 17.7182
[BM2000] 0657.7+0705.0                        21.8932 17.6855
[BM2000] 0664.6+0896.7                        21.8933 17.6284
[BM2000] 0665.7+1107.6                        21.8932 17.6682
[BM2000] 0666.6+0786.7                        21.9124 17.6677
[BM2000] 0667.5+0868.0                        21.9169 17.6635
[BM2000] 0670.6+0472.1                        21.8932 17.6956
[BM2000] 0672.0+0150.5                        21.8933 17.6608
[BM2000] 0673.9+0270.6                        21.8739 17.7366
[BM2000] 0674.0+0983.3                        21.8932 17.6734
[BM2000] 0674.3+0611.7                        21.917 17.7237
[BM2000] 0677.5+0447.4                        21.8932 17.6967
[BM2000] 0678.0+0745.2                        21.8784 17.7153
[BM2000] 0679.0+0797.9                        21.8932 17.6814
[BM2000] 0680.8+0445.4                        21.908 17.7348
[BM2000] 0682.3+1089.5                        21.8978 17.7171
[BM2000] 0682.9+0956.3                        21.8978 17.7228
[BM2000] 0684.5+0509.5                        21.8785 17.7256
[BM2000] 0684.9+0959.6                        21.8784 17.706
[BM2000] 0688.1+0981.7                        21.8978 17.6729
[BM2000] 0689.0+0224.3                        21.874 17.7386
[BM2000] 0689.0+0478.7                        21.8934 17.6466
[BM2000] 0693.2+1031.6                        21.8888 17.6233
[BM2000] 0693.3+0331.8                        21.917 17.7357
[BM2000] 0694.0+0863.1                        21.8979 17.6292
[BM2000] 0694.0+0924.9                        21.8888 17.6279
[BM2000] 0694.7+0827.8                        21.8934 17.7294
[BM2000] 0697.1+0263.1                        21.8889 17.6566
[BM2000] 0697.7+0696.6                        21.874 17.7182
[BM2000] 0700.1+0577.6                        21.8934 17.7402
[BM2000] 0703.5+0556.0                        21.9126 17.7295
[BM2000] 0706.1+0341.1                        21.9171 17.6865
[BM2000] 0706.2+0695.8                        21.8933 17.6859
[BM2000] 0707.0+0628.0                        21.8979 17.6882
[BM2000] 0708.2+1283.1                        21.8934 17.7096
[BM2000] 0710.7+0734.1                        21.8889 17.6362
[BM2000] 0712.5+1068.4                        21.9125 17.6555
[BM2000] 0720.3+0806.8                        21.8934 17.681
[BM2000] 0720.8+1001.8                        21.898 17.6231
[BM2000] 0721.1+0641.6                        21.8741 17.7206
[BM2000] 0721.4+1061.6                        21.8785 17.6501
[BM2000] 0722.0+0826.5                        21.8934 17.6802
[BM2000] 0726.6+1225.0                        21.8889 17.6149
